,GDP,G,NX,C,I,
1947-01-01,58497,9860,2669,36748,9220,
1947-04-01,60672,10149,3066,39831,7626,
1947-07-01,62196,9870,2672,39991,9663,
1947-10-01,68250,9947,2400,45282,10620,
1948-01-01,64258,9830,1788,40579,12062,
1948-04-01,66539,10622,1447,43037,11433,
1948-07-01,69378,10986,1014,43339,14038,
1948-10-01,74295,12320,1238,47924,12814,
1949-01-01,66185,11916,1573,41535,11161,
1949-04-01,66340,12316,1728,44392,7904,
1949-07-01,68625,12622,1092,43978,10934,
1949-10-01,71322,12951,842,48429,9100,
1950-01-01,68032,12213,471,43203,12144,
1950-04-01,70872,12230,552,46313,11778,
1950-07-01,77178,12376,-313,49442,15672,
1950-10-01,83746,13695,28,53086,16937,
1951-01-01,81603,15103,-55,49870,16685,
1951-04-01,84645,17348,664,50800,15833,
1951-07-01,87586,19707,705,50875,16299,
1951-10-01,93076,21143,1199,56794,13939,
1952-01-01,87610,20815,860,50586,15350,
1952-04-01,88913,22116,612,53784,12401,
1952-07-01,91270,22839,-214,53838,14807,
1952-10-01,99548,23814,-94,61113,14716,
1953-01-01,94008,23456,-170,54758,15965,
1953-04-01,97392,24373,-220,58078,15162,
1953-07-01,96695,24028,-393,57283,15777,
1953-10-01,101121,24907,82,62621,13512,
1954-01-01,93581,23120,-95,55883,14673,
1954-04-01,96090,23083,148,59428,13431,
1954-07-01,96905,22974,-148,58876,15203,
1954-10-01,103980,23297,499,65422,14763,
1955-01-01,99833,22433,269,59547,17584,
1955-04-01,104406,22613,90,64073,17630,
1955-07-01,107058,23735,-141,64062,19403,
1955-10-01,114181,24175,260,70606,19139,
1956-01-01,106892,23058,169,63885,19780,
1956-04-01,110356,24414,634,66725,18582,
1956-07-01,111816,24661,271,66748,20136,
1956-10-01,120287,26045,1287,73769,19185,
1957-01-01,113459,25764,1302,66916,19477,
1957-04-01,117125,26154,1203,70773,18995,
1957-07-01,119108,27037,547,71408,20117,
1957-10-01,124349,28209,1024,77200,17915,
1958-01-01,113202,26930,351,69349,16572,
1958-04-01,117802,28340,253,72851,16358,
1958-07-01,120079,28914,-158,72955,18368,
1958-10-01,130149,29956,91,80451,19651,
1959-01-01,123707,28182,243,74391,20892,
1959-04-01,131641,30160,-83,79197,22366,
1959-07-01,130194,30678,-75,78707,20884,
1959-10-01,136112,29436,313,84835,21528,
1960-01-01,131022,28551,786,78095,23590,
1960-04-01,136488,30305,977,83503,21704,
1960-07-01,135021,30667,718,81622,22015,
1960-10-01,139850,30998,1721,87961,19170,
1961-01-01,132138,30572,1545,80392,19630,
1961-04-01,140168,32778,1304,84868,21217,
1961-07-01,140509,32602,668,84325,22914,
1961-10-01,149394,33285,1397,91890,22822,
1962-01-01,144274,33256,1123,85183,24712,
1962-04-01,150952,35165,1344,90580,23863,
1962-07-01,150614,36012,599,89347,24655,
1962-10-01,158078,35853,1031,97447,23747,
1963-01-01,150949,34811,1211,89572,25355,
1963-04-01,158886,37016,1551,95005,25314,
1963-07-01,159597,38018,451,94842,26287,
1963-10-01,168017,37349,1724,102615,26329,
1964-01-01,162413,36792,1986,96250,27384,
